City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
487,elena,80,BG,1537558200,82,42.93,25.88,62.6,2.24
488,yebaishou,0,CN,1537559888,64,41.4,119.64,39.35,5.61
489,port hedland,0,AU,1537558200,87,-20.31,118.58,59.0,1.12
490,borisoglebsk,8,RU,1537559888,84,51.37,42.08,52.58,2.71
491,poum,0,MK,1537556400,62,41.28,20.71,57.2,3.36
492,sampit,0,ID,1537559889,90,-2.54,112.95,71.93,6.29
493,santa quiteria,0,ES,1537559889,89,37.67,-1.69,62.93,2.37
494,tessalit,0,ML,1537559657,25,20.2,1.01,81.2,7.18
495,praia da vitoria,20,PT,1537556400,78,38.73,-27.07,77.0,22.39
496,campbell river,90,CA,1537556400,100,50.02,-125.24,57.2,8.05
497,pontes e lacerda,32,BR,1537559495,78,-15.23,-59.33,81.74,5.73
498,sibolga,24,ID,1537559668,99,1.74,98.78,67.97,2.37
499,nemuro,92,JP,1537559679,100,43.32,145.57,60.41,13.56
500,rocha,0,UY,1537559646,67,-34.48,-54.34,72.74,7.4
501,daman,80,IN,1537559890,96,20.42,72.83,83.63,22.06
502,la ronge,75,CA,1537556400,51,55.1,-105.3,37.4,6.93
503,inhuma,0,BR,1537559890,24,-6.67,-41.71,90.02,7.18
504,mahibadhoo,92,MV,1537559890,100,3.78,72.97,82.73,10.98
505,lazarev,0,RU,1537559891,100,52.23,141.51,46.55,6.62
506,yantzaza,12,EC,1537559891,81,-3.83,-78.76,71.3,2.93
507,honiara,40,SB,1537556400,100,-9.43,159.96,71.6,2.24
508,talakan,92,RU,1537559891,92,50.29,130.28,54.02,12.21
509,muroto,24,JP,1537559710,98,33.37,134.14,76.79,10.98
510,correntina,0,BR,1537559891,27,-13.34,-44.63,87.14,5.73
511,shizunai,92,JP,1537559891,89,42.33,142.37,54.74,12.1
512,taoudenni,76,ML,1537559689,18,22.68,-3.98,90.2,8.75
513,yulara,0,AU,1537556400,87,-25.24,130.99,48.2,5.82
514,newtownards,12,GB,1537557600,76,54.59,-5.69,50.0,6.93
